Product_name,Brand,Item_id,Swiper_count,Price
Correct and Perfect All-In-One Color Correcting Palette,Stila,2301052,7,$45.00
Born This Way Ethereal Light Illuminating Smoothing Concealer,Too Faced,2603644,11,$29.00
Boi-ing Bright On Brightening Undereye Concealer,Benefit Cosmetics,2591457,4,$27.00
Concealer Broad Spectrum SPF 20,bareMinerals,2124550,2,$27.00
Hy-Glam Correcting Concealer,NATASHA DENONA,2609431,9,$30.00
nan,nan,2510647,nan,nan
Hide & Peek Concealer,Morphe 2,2580929,5,$12.00
Sweetener Concealer,r.e.m. beauty,2598565,9,$24.00
Skin Treat Vegan Stick Concealer,Tarte,2590239,6,$29.00
Radiant Skin Brightening Serum Concealer,TULA,2612273,8,$32.00
Effacernes Waterproof Protective Undereye Concealer,Lanc̫me,2567727,5,$34.00
IRL Filter Finish Concealer,Revolution Beauty,2605173,10,$7.00
Shape Tape Conceal & Sculpt Duo,Tarte,2614529,9,$19.00
Skin Twin Creamy Concealer,Beautycounter,2606508,7,$8.50
Power Plush Longwear Concealer,KYLIE COSMETICS,2616197,11,$16.20
Highlighting & Concealing Pro Pencil,Anastasia Beverly Hills,2273167,6,$12.60
Pro Sculpt Concealer Palette,L.A. Girl,2611142,3,$12.99
Smoothers Moisturizing Concealer Stick,CoverGirl,2161014,8,$9.99
Keep Me Covered Concealer,Essence,2603009,3,$4.99
TruBlend Undercover Concealer,CoverGirl,2604790,9,$12.99
Travel Size Maracuja Creaseless Concealer,Tarte,2563085,11,$15.00
Bright Eyes! Under Eye Stick,Essence,2618288,7,$4.99
Eye Bright Concealer,Revolution Beauty,2574724,4,$5.00
Bio Correct Concealer,Well People,2569076,5,$22.00
Circle\Delete Concealer,jane iredale,2545045,3,$28.80
NUDEFIX Cream Concealer,NUDESTIX,2568586,6,$29.00
"Staysurance Water-Sealed, Zero Smudge Concealer",J.Cat Beauty,2555810,2,$5.39
Full Coverage Concealer,KIKO Milano,2581182,2,$9.45
DreamLit Glow Creamy Undereye Concealer,Pacifica,2604787,3,$11.20
Nothing To See Soft Matte Hydrating Creamy Concealer,WYN BEAUTY,2622364,8,$25.00
Get Real Serum Concealer,FLOWER Beauty,2607237,3,$12.00
Light Reflecting Eye Brightener,NARS,2609672,10,$34.00
LE CORRECTEUR DE CHANEL Longwear Colour Corrector,CHANEL,2585213,3,$45.00
Correction Concentrate Concealer,Pixi,2612669,3,$12.00
ColorStay Skin Awaken Concealer,Revlon,2590576,10,$13.29
Mini NUDEFIX Cream Concealer,NUDESTIX,2605952,8,$9.00
Light Illusion Full Coverage Concealer,FLOWER Beauty,2524996,2,$12.00
Universal Stick Concealer,KIKO Milano,2581428,3,$8.75
Active Light Under-Eye Concealer,jane iredale,2545120,3,$25.60
Travel Size The Original Photo Finish Smooth & Blur Oil-Free Primer,Smashbox,2588001,9,$16.00
One Step Correct Brightening & Correcting Primer,Stila,2568596,6,$36.00
Honestly Bright Eyes Tinted Eye Cream,Honest Beauty,2570957,4,$24.00
Stay Woke Concealer,UOMA Beauty,2593686,2,$12.50
Inner Glow Serum Concealer,ULTA Beauty Collection,2621060,6,$7.20
Clean Fresh Hydrating Concealer,CoverGirl,2561984,5,$11.99
Simply Ageless Triple Action Concealer,CoverGirl,2597532,8,$17.49
Complexion Crush Full Coverage Concealer,ULTA Beauty Collection,2617686,6,$7.20
PRO Soft Focus Longwear Concealer,LORAC,2558409,2,$24.00
I am Magic Mini Concealer,Juvia's Place,2587645,2,$5.00
nan,nan,2567559,nan,nan
nan,nan,2564447,nan,nan
Conceal To Reveal 3-in-1 Coverage Palette,Undone Beauty,2607952,7,$3.50
Unseen Sunscreen SPF 40,Supergoop!,2589386,8,$30.40
Blurring & Moisturizing Filter Primer,TULA,2580280,9,$38.00
Jelly Pop Dew Primer,e.l.f. Cosmetics,2614066,9,$10.00
Power Grip Primer,e.l.f. Cosmetics,2591795,8,$10.00
The Original Photo Finish Smooth & Blur Oil-Free Primer,Smashbox,2233964,9,$34.00
Vitamin Enriched Face Base Moisturizer & Primer with Vitamin C + Hyaluronic Acid,BOBBI BROWN,2583728,11,$51.75
The POREfessional Pore Minimizing Primer,Benefit Cosmetics,2219868,10,$35.00
Power Grip Primer + 4% Niacinamide,e.l.f. Cosmetics,2604932,9,$10.00
Hangover 3-In-1 Replenishing Primer & Setting Spray,Too Faced,2513749,6,$38.00
Mineral Mattescreen SPF 40,Supergoop!,2589388,8,$32.00
La Base Pro Oil-Free Longwear Makeup Primer,Lanc̫me,2235646,7,$45.00
All Nighter Face Makeup Primer,Urban Decay Cosmetics,2556532,6,$27.30
The POREfessional Pore Minimizing Primer Mini,Benefit Cosmetics,2274978,9,$15.00
Liquid Poreless Putty Primer,e.l.f. Cosmetics,2617744,9,$10.00
Supersize Blurring & Moisturizing Filter Primer,TULA,2580960,9,$60.00
Veil Mineral Primer,HOURGLASS,2572601,2,$58.00
Instant FIRMx No Filter Primer,Peter Thomas Roth,2603439,9,$42.00
"Hueguard 3-in-1 Mineral Sunscreen, Moisturizer, Primer SPF 30",Live Tinted,2588656,8,$34.00
